time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate
0 0.016 6.56 6.67 9.91 0.23 1.55 2.13 1.36 0.24
6 0.052 6.64 6.59 9.81 0.23 1.56 2.34 1.32 0.32
10 0.38 6.26 5.68 9.62 0.34 1.55 3.34 1.28 1.64
14 0.772 5.8 1.22 7.38 0.65 1.51 5.09 1.29 5.38
16 0.844 5.88 0 0 1.11 1.52 5.16 1.26 9.19
20 0.709 5.83 0 0.02 1.49 1.56 4.9 1.26 9.52
24 0.659 5.93 0 0.02 1.48 1.52 4.76 1.23 9.55
28 0.598 5.93 0 0.02 1.48 1.55 4.64 1.22 9.76
32 0.539 6 0 0 1.46 1.55 4.57 1.21 9.92
38 0.445 5.93 0 0 1.42 1.56 4.36 1.17 10.11
42 0.423 5.93 0.14 0.09 1.41 1.58 4.21 1.16 10.33
48 0.415 6.01 0.13 0.09 1.37 1.61 3.89 1.11 10.61
72 0.41 6.05 0 0.11 1.36 1.75 3.08 0.99 11.27
