time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount
0 0.012 6.65 8.43 8.44 0.68 1.1 2.15 0.78 0.1 1081 1056 1.37 0
4 0.016 6.65 8.34 8.34 0.7 1.19 2.16 0.78 0.1 938 635 1.37 1000
8 0.026 6.57 8.32 8.35 0.7 1.2 2.23 0.76 0.15 3881 1147 1.36 11000
12 0.082 6.48 8.03 8.36 0.73 1.15 2.67 0.76 0.44 54538 35235 1.35 56500
16 0.24 6.4 7.43 8.32 0.79 1.15 3.35 0.7 1.19 48671 24394 1.27 149000
20 0.21 6.32 6.68 8.08 0.95 1.08 3.52 0.76 2.01 125093 102305 1.35 133000
24 0.179 6.35 5.79 7.49 1.06 1.05 3.27 0.74 2.95 69738 49348 1.34 253500
28 0.144 6.39 5.27 6.89 1.21 1.09 2.92 0.76 3.73 57013 40255 1.37 52500
32 0.121 6.4 4.9 6.41 1.26 1.01 2.68 0.72 4.14 27543 20765 1.35 68000
36 0.11 6.31 4.58 6.06 1.34 0.95 2.74 0.73 4.46 29058 23833 1.34 35500
40 0.11 6.32 4.34 5.75 1.34 0.97 2.89 0.71 4.64 26453 23123 1.33 70500
48 0.147 6.23 3.55 5.4 1.48 0.94 3.41 0.7 5.1 41080 33530 1.33 73500
56 0.21 6.02 2.24 5.06 1.9 0.82 4.17 0.7 5.81 98698 91488 1.33 118550
72 0.228 5.89 0.16 3.81 2.72 0.91 4.5 0.65 7.73 56095 45810 1.35 206500
86 0.19 5.98 0.15 1.15 2.82 0.8 4.72 0.63 8.64 51800 47711 1.36 142500
96 0.182 6.1 0.14 0.17 2.74 0.99 4.81 0.61 9.03 45932 23035 1.36 104000
120 0.162 6.1 0.14 0 2.73 0.7 4.46 0.55 9.28 40305 13243 1.34 56500
