time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount
0 0.008 6.64 7.47 9.68 0.54 0.37 0.87 1.76 0.66 0.01 1652 1521 1146 375
4 0.04 6.69 7.14 9.45 0.55 0.35 0.85 1.9 0.63 0.03 30913 28756 22140 6616
8 0.506 6.19 5.45 9.56 1.54 0.51 1.54 4.02 0.61 0.65 NA NA NA NA
12 1.076 5.38 0.68 4.29 3.98 1.34 2.07 9.76 0.58 3.17 1149310 1131815 708130 423685
16 0.977 5.3 0.03 0.14 4.65 1.23 2.02 10.98 0.57 4.94 1081865 1062455 605970 456485
24 0.9 5.35 0.04 0.1 5.46 1.37 1.87 11.22 0.58 4.83 1014030 809520 574955 234565
28 0.855 5.3 0.04 0.08 5.34 1.42 1.86 11.2 0.55 5.18 1125840 781655 652135 129520
32 0.791 5.3 0.07 0.07 5.52 1.47 1.96 10.89 0.55 5.21 880430 579005 558460 20545
38 0.817 5.38 0.17 0.12 5.57 1.37 2.3 11.19 0.67 5.25 1172720 776505 276820 499685
48 0.812 5.43 0.16 0.13 5.6 1.4 2.38 11.13 0.65 5.49 1130145 713930 490255 223675
60 0.837 5.51 0.07 0.11 5.78 1.39 2.28 10.96 0.65 5.68 874185 455300 275870 179430
72 0.84 5.51 0.06 0.11 5.56 1.27 2.29 10.67 0.63 5.81 1062355 438025 234935 203090
96 0.855 5.55 0.06 0.1 5.75 1.22 2.34 10.54 0.6 6.02 1103510 339270 162375 176895
120 0.859 5.46 0.06 0.07 5.89 1.28 2.29 10.25 0.58 6.2 1097785 177700 53490 124210
