time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate
0 0.014 6.56 6.69 9.91 0.23 1.54 2.11 1.36 0.24
6 0.048 6.64 6.66 9.86 0.24 1.56 2.34 1.32 0.33
10 0.38 6.26 5.71 9.6 0.35 1.54 3.3 1.28 1.72
14 0.744 5.8 1.19 7.36 0.64 1.48 5.08 1.28 5.49
16 0.81 5.92 0 0.02 1.47 1.55 5.11 1.25 9.23
20 0.706 5.88 0 0.02 1.45 1.55 4.92 1.26 9.56
24 0.616 5.93 0 0.02 1.41 1.5 4.67 1.22 9.51
28 0.572 5.93 0 0 1.43 1.55 4.63 1.23 9.92
32 0.533 6.05 0 0 1.4 1.55 4.56 1.21 10.05
38 0.421 6.01 0 0 1.36 1.56 4.22 1.17 10.25
42 0.403 5.89 0.14 0.09 1.35 1.57 4.14 1.15 10.44
48 0.399 6.01 0.14 0.1 1.33 1.64 3.8 1.11 10.75
72 0.392 6.1 0.12 0.12 1.36 1.78 3.04 0.98 11.36
