time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount
0 0.001 6.65 8.9 8.28 0.46 0.28 0.7 1.92 1717 1713
4 0.024 6.57 8.84 8.14 0.48 0.28 0.74 2.08 20550 20533
8 0.33 6.23 7.8 7.82 1.27 0.22 1.55 3.32 282090 281720
12 1.01 5.42 4.59 7.73 4.6 1.48 2.55 6.7 713000 709220
16 1.275 5.09 1.06 3.49 7.18 3.04 2.63 10.53 996840 995560
20 1.29 4.92 0.18 1.03 8.81 4.68 2.56 12.06 1151980 1150670
24 0.985 4.92 0.14 0.65 9.98 4.94 2.63 12.99 918230 916110
28 0.78 4.96 0.17 0.66 10.46 4.94 2.88 13.31 877010 876130
32 0.88 4.99 0.16 0.62 10.67 4.7 2.85 13.33 885970 885150
36 0.88 5.08 0.17 0.6 10.73 4.96 2.84 13.32 1114410 904450
40 0.895 5.04 0.17 0.58 10.78 5.02 2.88 13.28 859790 630580
44 0.92 5.04 0.16 0.55 10.76 5.01 2.81 13.28 1053510 661090
48 0.94 5.12 0.16 0.55 10.83 5.12 2.81 13.25 1091890 480240
60 0.94 5.09 0.15 0.5 10.77 5.15 2.75 13.17 1022020 216820
72 1.005 5.13 0.16 0.48 10.71 5.3 2.66 13.11 1012230 212070
96 0.955 5.09 0.14 0.44 10.76 5.3 2.53 13.06 1151280 120670
120 1.02 5.12 0.14 0.41 10.52 4.69 2.52 12.94 1055280 57860
