time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount
0 0.001 6.65 8.94 8.3 0.45 0.28 0.69 1.92 2057 2054
4 0.022 6.57 8.82 8.15 0.47 0.27 0.72 2.11 23099 23079
8 0.355 6.23 7.84 7.87 1.3 0.22 1.56 3.36 279720 279260
12 0.965 5.47 4.5 7.76 3.91 0.74 2.59 6.77 715270 711880
16 1.3 5.04 1.1 3.5 7.62 3.77 2.6 10.49 1055400 1054240
20 1.28 4.96 0.05 0.89 7.47 4.38 1.68 12.39 1354120 1353450
24 0.965 4.92 0.14 0.66 9.71 4.65 2.63 13 880330 877920
28 0.94 4.95 0.17 0.66 10.39 4.56 2.9 13.23 791710 790980
32 0.84 4.99 0.17 0.62 10.65 4.96 2.88 13.35 945050 944070
36 0.86 5.08 0.16 0.6 10.71 4.97 2.83 13.32 1088230 889020
40 0.9 5.09 0.17 0.62 11.4 5.36 3.02 13.92 1010870 777790
44 0.895 5.09 0.16 0.56 10.78 5.04 2.82 13.23 1017800 719290
48 0.94 5.12 0.16 0.55 10.69 5.14 2.81 13.33 1216220 576300
60 0.955 5.09 0.16 0.51 11.05 5.38 2.8 13.49 1032640 342120
72 1.02 5.13 0.15 0.48 10.78 5.36 2.69 13.28 1151380 289710
96 1.025 5.09 0.14 0.44 10.76 5.33 2.57 13.12 1036630 128720
120 0.99 5.12 0.14 0.41 10.62 5.45 2.52 12.96 1155360 54210
