time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount Neu5Ac attachedactivecount attachedBTactivecount attachedRIactivecount
0 0.007 6.61 7.99 8.79 0.67 0.75 1.23 1.75 0.78 0.03 1968 1906 1127 779 1.34 0 0 0
4 0.032 6.65 7.83 8.8 0.7 0.72 1.38 1.85 0.77 0.05 22809 21570 15275 6295 1.33 11650 11600 50
8 0.395 6.23 6.56 8.88 1.79 0.82 1.93 3.93 0.75 0.51 412760 401560 311660 89900 1.31 87600 87600 0
12 0.93 5.3 3.41 6.18 4.65 1.64 2.71 7.75 0.73 1.28 1426160 1412740 1231500 181240 1.3 116850 116600 250
16 1.127 5.13 1 2.68 6.41 2.98 2.77 10.16 0.73 1.89 1573340 1571160 1400380 170780 1.3 459200 431000 28200
20 1.047 5.04 0.1 0.45 7.84 3.51 2.77 10.99 0.72 2.6 1571620 1563480 1391920 171560 1.29 544550 513350 31200
24 0.907 5.04 0.03 0.17 8.38 3.47 2.7 11.16 0.72 2.77 1347700 1327340 1174340 153000 1.3 542850 501600 41250
28 0.821 5.04 0.03 0.16 8.43 3.45 2.61 11.22 0.7 2.78 1556860 1508340 1331880 176460 1.28 436700 401800 34900
32 0.803 5.04 0.03 0.17 8.78 3.46 2.67 11.24 0.72 2.78 1264400 1191940 1067440 124500 1.31 407700 382300 25400
36 0.804 5.17 0.04 0.15 8.86 3.5 2.7 11.35 0.71 2.81 1236080 1121140 1033740 87400 1.32 217200 204350 12850
40 0.791 5.17 0.03 0.14 8.8 3.59 2.64 11.36 0.7 2.75 1174460 1036020 981860 54160 1.32 261900 252250 9650
48 0.759 5.21 0.04 0.13 9.1 3.53 2.66 11.33 0.71 2.82 1363740 1174360 1163960 10400 1.35 396600 394300 2300
60 0.747 5.17 0.04 0.11 9.17 3.62 2.65 11.42 0.71 2.66 1099820 971060 965120 5940 1.36 263500 263200 300
72 0.755 5.25 0.04 0.1 9.06 3.54 2.67 11.29 0.7 2.83 1176940 1049400 1047740 1660 1.36 274500 274300 200
96 0.774 5.2 0.05 0.1 9.14 3.66 2.66 11.3 0.7 2.84 1120040 989800 989340 460 1.38 207800 207800 0
120 0.809 5.21 0.04 0.08 9.38 3.68 2.66 11.35 0.7 2.94 1165540 994220 990260 3960 1.4 224150 223700 450
