time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount
0 0.007 6.69 7.49 9.72 0.56 0.38 0.88 1.71 0.66 0 1598 1480 1116 364
4 0.036 6.69 7.23 9.54 0.56 0.36 0.86 1.86 0.66 0.02 27164 26201 19285 6916
8 0.473 6.23 5.57 9.63 1.46 0.53 1.49 3.9 0.61 0.57 NA NA NA NA
12 1.092 5.33 0.57 4.31 3.82 1.22 2.05 9.94 0.59 3.28 1174690 1160195 739910 420285
16 0.994 5.34 0.06 0.17 4.49 1.14 2.05 11.2 0.6 5 1252520 1229185 712225 516960
24 0.918 5.35 0.08 0.12 5.26 1.29 1.95 11.77 0.6 4.86 1252280 1044420 708300 336120
28 0.865 5.3 0.02 0.11 5.13 1.32 1.9 11.82 0.58 5.23 986410 714420 564890 149530
32 0.826 5.34 0.08 0.08 5.19 1.37 1.88 11.79 0.54 5.32 1040125 674495 637955 36540
38 0.804 5.42 0.08 0.13 5.32 1.26 2.31 11.32 0.67 5.4 955345 620305 68575 551730
48 0.806 5.51 0.17 0.13 5.37 1.26 2.33 11.11 0.65 5.65 1033040 640045 222820 417225
60 0.847 5.47 0.06 0.12 5.46 1.23 2.22 10.83 0.64 5.79 862165 456495 224485 232010
72 0.874 5.51 0.07 0.12 5.42 1.13 2.29 10.72 0.62 6 1169555 443520 280490 163030
96 0.889 5.56 0.06 0.1 5.5 1.19 2.32 10.43 0.58 6.27 1046135 195170 99010 96160
120 0.9 5.5 0.05 0.08 5.65 1.11 2.22 10.13 0.56 6.41 1066040 120275 26790 93485
