time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate
0 0.017 6.6 7.03 9.93 0.22 1.38 2.11 1.38 0.34
6 0.042 6.68 7.05 10.04 0.23 1.44 2.23 1.36 0.3
10 0.325 6.34 6.22 9.78 0.32 1.44 3.23 1.3 1.41
14 0.69 5.92 2.3 8.03 0.6 1.36 4.92 1.3 4.6
16 0.865 5.88 0 0.02 1.18 1.43 5.22 1.28 9.4
20 0.742 5.79 0 0 1.68 1.43 5 1.28 9.73
24 0.691 5.89 0 0 1.65 1.4 4.81 1.25 9.71
28 0.611 5.93 0 0 1.69 1.43 4.75 1.26 10.04
32 0.562 6 0 0 1.67 1.43 4.7 1.24 10.09
38 0.466 5.97 0 0 1.65 1.44 4.49 1.21 10.3
42 0.421 5.93 0.14 0.09 1.63 1.45 4.37 1.18 10.47
48 0.411 5.96 0.15 0.1 1.6 1.46 4.1 1.15 10.86
72 0.41 6.01 0 0.11 1.5 1.54 3.27 1.01 11.37
