time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate liquidtotalcount liquidactivecount Neu5Ac
0 0.006 6.74 7.64 8.02 0.57 0.45 1.04 2.19 2829 2288 1.29
4 0.02 6.52 7.64 8.07 0.66 0.59 1.74 2.25 17436 16945 1.29
8 0.228 6.31 6.78 8.25 1.36 0.62 2.42 3.27 237092 236302 1.26
12 0.65 5.54 4.11 6.54 3.71 1.25 2.87 6.16 740547 739017 1.23
16 0.854 5.14 1.43 3.43 6.19 3.07 2.95 9.56 1073063 1071033 1.27
20 0.803 5.04 0.23 1.2 7.72 4.11 2.97 11.54 1078300 1076970 1.27
24 0.679 5.01 0.15 0.86 8.62 3.94 2.99 12.09 939511 937601 1.28
28 0.618 4.97 0.14 0.81 8.76 3.97 2.92 12.2 865474 863514 1.27
32 0.605 4.97 0.14 0.8 9.07 4.02 2.95 12.25 865199 863099 1.29
38 0.629 5.08 0.14 0.76 9.09 4 2.94 12.16 987922 983552 1.33
42 0.636 5.13 0.14 0.75 9.05 3.97 2.9 12.19 1058985 1051635 1.35
48 0.649 5.05 0.15 0.75 9.23 4.07 2.96 12.29 1081931 1059571 1.35
72 0.698 5.05 0.15 0.68 9.25 3.93 2.92 12.31 1188094 1135194 1.35
