time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount
0 0.01 6.65 8.38 8.41 0.7 1.3 2.15 0.76 0.09 767 746 1.36 0
4 0.015 6.65 8.47 8.45 0.68 1.24 2.13 0.8 0.09 816 601 1.4 1000
8 0.025 6.57 8.35 8.38 0.69 1.19 2.24 0.78 0.15 3570 467 1.38 9500
12 0.076 6.52 8.01 8.34 0.71 1.2 2.67 0.75 0.44 48320 29408 1.35 71000
16 0.233 6.32 7.37 8.43 0.81 1.1 3.38 0.74 1.19 56027 29541 1.33 182000
20 0.211 6.35 6.61 8.07 0.95 1.08 3.56 0.73 2.01 96085 82465 1.34 191500
24 0.179 6.35 5.86 7.46 1.11 1.11 3.32 0.74 2.95 68118 50533 1.35 160500
28 0.144 6.35 5.38 7.09 1.27 1.05 3.03 0.76 3.89 51773 38683 1.41 56500
32 0.122 6.35 4.84 6.37 1.27 1.12 2.74 0.72 4.24 31695 23633 1.34 87000
36 0.107 6.3 4.5 5.97 1.33 0.93 2.82 0.74 4.5 25448 21010 1.36 51500
40 0.106 6.31 4.17 5.66 1.38 0.94 2.84 0.69 4.59 23978 21823 1.32 75500
48 0.142 6.23 3.57 5.39 1.52 0.9 3.44 0.75 5.16 39295 31238 1.37 76500
56 0.202 6.06 2.33 5.07 1.91 0.93 4.15 0.71 5.72 100703 93748 1.35 117000
72 0.221 5.89 0.16 3.85 2.66 0.84 4.55 0.65 7.68 52375 41975 1.35 210000
86 0.186 5.98 0.14 1.18 2.7 0.75 4.69 0.63 8.61 74055 46425 1.36 134050
96 0.178 6.1 0.15 0.22 2.96 0.81 4.78 0.61 9 34700 20613 1.37 110000
120 0.156 6.1 0.14 0 2.81 0.92 4.53 0.57 9.36 33545 11200 1.38 36000
