time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount
0 0.006 6.64 7.37 9.53 0.54 0.38 0.85 1.76 0.65 0 1842 1713 1301 412
4 0.023 6.69 7.23 9.49 0.56 0.37 0.89 1.8 0.64 0.01 18223 18107 16075 2032
8 0.282 6.4 6.48 9.79 1.43 0.47 1.38 3.05 0.62 0.02 NA NA NA NA
12 0.85 5.59 3.7 8.32 3.91 1.22 2.37 6.64 0.59 0.49 994500 971020 801890 169130
16 1.06 5.13 0.2 1.43 6.48 2.39 2.38 11.65 0.58 1.82 1146655 1126900 952720 174180
24 0.885 5.19 0.03 0.23 8.19 2.85 2.2 12.4 0.61 2.29 1190435 1104605 934640 169965
28 0.873 5.09 0.02 0.2 7.94 3.12 2.22 12.5 0.56 2.38 1197355 989965 932190 57775
32 0.915 5.17 0.08 0.6 7.86 2.91 2.1 12.01 0.54 2.51 1283025 983065 960440 22625
38 0.948 5.21 0.02 0.2 8.43 2.78 2.7 12.43 0.7 2.66 1268250 793675 764425 29250
48 0.958 5.21 0.02 0.19 8.56 2.76 2.71 12.39 0.69 2.73 1268585 495110 482555 12555
60 0.964 5.3 0.02 0.18 8.57 2.73 2.61 12.39 0.69 2.7 993930 269345 236840 32505
72 0.964 5.3 0.03 0.18 8.56 2.51 2.68 12.25 0.69 2.75 1214340 131120 97770 33350
96 0.953 5.34 0.03 0.2 8.59 2.65 2.71 12.23 0.68 2.79 1060930 37350 27895 9455
120 0.948 5.29 0.02 0.14 8.61 2.54 2.62 12.13 0.69 2.87 1240700 17670 2145 15525
