time OD pH Glucose Pyruvate Succinate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount liquidBTactivecount liquidRIactivecount
0 0.007 6.64 7.45 9.69 0.55 0.38 0.88 1.77 0.66 0 1832 1729 1296 433
4 0.037 6.65 7.21 9.51 0.45 0.37 0.9 1.88 0.63 0.02 23347 22704 17412 5292
8 0.429 6.27 5.78 9.63 1.5 0.51 1.5 3.71 0.61 0.41 NA NA NA NA
12 1.057 5.38 1.34 5.3 3.83 1.29 2.14 9.01 0.61 2.46 1100730 1081925 716660 365265
16 0.995 5.3 0.03 0.18 4.92 1.3 2.13 11.23 0.6 4.42 977485 960640 593435 367205
24 0.945 5.35 0.04 0.12 5.86 1.52 1.98 11.95 0.57 4.52 1193790 980175 702505 277670
28 0.893 5.26 0.07 0.09 5.54 1.46 1.96 12.04 0.55 4.65 1059040 751290 644455 106835
32 0.835 5.34 0.06 0.09 5.75 1.3 1.95 11.93 0.56 4.87 1211125 810740 779065 31675
38 0.834 5.38 0.17 0.13 5.98 1.54 2.43 11.66 0.68 4.96 1118430 746875 434425 312450
48 0.85 5.35 0.16 0.13 6.01 1.5 2.48 11.42 0.67 5.17 1237400 788195 598710 189485
60 0.874 5.47 0.06 0.12 5.99 1.46 2.32 11.02 0.66 5.25 647660 298745 205695 93050
72 0.881 5.51 0.07 0.12 6.02 1.39 2.4 11.01 0.65 5.46 1081650 419540 295280 124260
96 0.889 5.51 0.06 0.1 6.13 1.42 2.43 10.79 0.61 5.7 857260 192660 106865 85795
120 0.898 5.5 0.05 0.08 6.12 1.28 2.35 10.58 0.6 5.85 1096280 127975 56415 71560
