time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount
0 0.009 6.65 8.46 8.47 0.68 1.22 2.16 0.81 0.09 639 623 1.39 0
4 0.016 6.65 8.48 8.44 0.71 1.23 2.2 0.81 0.1 743 656 1.39 2000
8 0.029 6.61 8.3 8.38 0.71 1.18 2.27 0.79 0.13 3653 1323 1.38 16500
12 0.088 6.53 8 8.4 0.73 1.22 2.76 0.76 0.46 62963 40340 1.35 55000
16 0.245 6.44 7.23 8.37 0.82 1.2 3.42 0.77 1.26 49067 26861 1.36 146550
20 0.21 6.31 6.44 8.04 0.98 1.16 3.64 0.73 2.1 126373 107233 1.33 185000
24 0.194 6.27 5.55 7.41 1.11 1.13 3.39 0.74 3.11 82235 63815 1.36 156500
28 0.154 6.39 4.98 6.82 1.27 1.03 3.02 0.73 3.97 51123 36448 1.36 75500
32 0.14 6.35 4.55 6.3 1.35 0.95 2.83 0.73 4.41 39135 29168 1.34 73000
36 0.121 6.31 4.12 5.82 1.39 0.96 2.91 0.72 4.71 37063 31160 1.33 46500
40 0.119 6.27 3.88 5.56 1.47 0.94 3.07 0.7 4.91 33368 29885 1.33 83000
48 0.159 6.19 3.09 5.23 1.61 0.92 3.6 0.7 5.44 51685 44648 1.34 78500
56 0.222 5.98 1.74 4.85 2.07 1 4.35 0.7 6.22 107653 99243 1.36 217000
72 0.218 5.93 0.15 3.06 2.65 0.8 4.59 0.58 7.94 61355 50518 1.27 194600
86 0.191 5.98 0.13 0.22 2.68 0.78 4.94 0.62 8.89 50765 44460 1.35 132000
96 0.183 6.14 0.18 0 2.72 0.92 4.9 0.64 9.09 40782 27255 1.38 83500
120 0.157 6.1 0.14 0 2.72 0.96 4.66 0.56 9.21 46200 14195 1.37 37500
