time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate
0 0.011 6.56 6.78 9.93 0.23 1.58 2.15 1.38 0.23
6 0.049 6.68 6.57 9.8 0.23 1.53 2.31 1.32 0.32
10 0.358 6.31 5.78 9.6 0.34 1.55 3.33 1.29 1.53
14 0.722 5.84 1.66 7.76 0.65 1.5 5.04 1.3 4.99
16 0.856 5.88 0 0.02 1.12 1.52 5.18 1.28 9.28
20 0.734 5.88 0 0.02 1.63 1.58 5.02 1.28 9.6
24 0.67 5.93 0 0.02 1.64 1.56 4.91 1.28 9.74
28 0.607 5.96 0 0.02 1.67 1.55 4.71 1.25 9.76
32 0.575 6 0 0 1.63 1.58 4.71 1.25 9.94
38 0.46 5.97 0 0 1.58 1.56 4.49 1.2 10.09
42 0.428 5.89 0.15 0.09 1.55 1.57 4.36 1.18 10.25
48 0.418 6.01 0.15 0.09 1.54 1.59 4.07 1.14 10.56
72 0.413 6.05 0 0.11 1.43 1.64 3.19 1.01 11.19
