time OD pH Glucose Pyruvate Lactate Formate Acetate Trehalose Butyrate liquidtotalcount liquidactivecount Neu5Ac attachedactivecount
0 0.009 6.65 8.42 8.46 0.69 1.22 2.17 0.8 0.09 1002 968 1.37 0
4 0.012 6.65 8.41 8.38 0.71 1.26 2.15 0.78 0.11 831 612 1.38 1000
8 0.024 6.57 8.32 8.3 0.71 1.32 2.23 0.77 0.14 4293 1253 1.37 15500
12 0.078 6.48 8 8.29 0.72 1.2 2.67 0.74 0.44 57470 37128 1.35 62500
16 0.226 6.4 7.35 8.31 0.81 1.14 3.3 0.75 1.18 49071 27016 1.33 116500
20 0.181 6.35 6.69 8.02 0.96 1.12 3.39 0.76 1.96 120895 96105 1.35 166000
24 0.153 6.27 5.79 7.49 1.06 1.05 3.27 0.74 2.95 60588 49150 1.34 248050
28 0.12 6.39 5.53 6.96 1.19 1.07 2.68 0.72 3.48 42235 31378 1.35 81000
32 0.105 6.4 5.22 6.53 1.25 1 2.51 0.72 3.86 19978 14408 1.34 35000
36 0.091 6.35 5.03 6.16 1.31 0.98 2.47 0.69 4.1 17313 13833 1.3 92500
40 0.083 6.36 4.8 6 1.36 0.93 2.59 0.72 4.25 12578 11068 1.35 67000
48 0.107 6.27 4.35 5.73 1.44 0.9 2.98 0.71 4.53 23360 16068 1.33 105000
56 0.156 6.15 3.35 5.51 1.69 0.85 3.68 0.69 4.98 80675 71948 1.32 145000
72 0.225 5.93 0.96 4.74 2.54 0.76 4.37 0.67 6.57 44920 37965 1.33 255000
86 0.163 5.89 0.15 3.07 2.85 0.87 4.4 0.63 8.02 46630 32250 1.35 164100
96 0.15 6.02 0.14 2.09 2.81 0.77 4.44 0.62 8.36 47824 14338 1.35 81500
120 0.145 6.06 0.14 0.33 2.81 0.79 4.51 0.57 9.03 42498 16543 1.36 74500
